ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.6409148790810751,0.00044472905836306003,0.0002835605531992185,0.0007670660686907429
Precentral_R,0.6855993731028999,0.0003491968515163917,0.00019071474504509995,0.0006661610644589752
Frontal_Sup_L,0.40420612412049123,0.0010368286851390352,0.000894997968161154,0.0013204901190947977
Frontal_Sup_R,0.430262397122173,0.0009836935914586977,0.0008419099446593447,0.0012672608850574038
Frontal_Sup_Orb_L,0.15880629518097222,0.00180671847048126,0.0016965401141631595,0.002027075183117461
Frontal_Sup_Orb_R,0.2207476705312163,0.0014073419037521565,0.0012695666145544277,0.0016828924821476155
Frontal_Mid_L,0.5250573973904031,0.0007169840898163123,0.0005773478891479592,0.0009962564911530187
Frontal_Mid_R,0.547649059424728,0.000642621810393473,0.0004934676622790778,0.0009409301066222636
Frontal_Mid_Orb_L,0.16442330070403582,0.00153034338531333,0.0014281017739523308,0.001734826608035329
Frontal_Mid_Orb_R,0.17833400899031154,0.001392982339538285,0.0012896738151180985,0.0015995993883786584
Frontal_Inf_Oper_L,0.4534753168358916,0.000860641187973732,0.0007155330212366949,0.0011508575214478059
Frontal_Inf_Oper_R,0.49019397172162854,0.0008407735458853263,0.0006811968363511372,0.0011599269649537043
Frontal_Inf_Tri_L,0.38638149284671874,0.000950366573731401,0.0008191882405895684,0.001212723240015066
Frontal_Inf_Tri_R,0.4736131859795617,0.0008712415181002614,0.000721295311917022,0.00117113393046674
Frontal_Inf_Orb_L,0.2186976365797047,0.0012705125884534727,0.0011441860012481712,0.0015231657628640763
Frontal_Inf_Orb_R,0.20127581647782827,0.001476045244708654,0.0013591038503759597,0.0017099280333740423
Rolandic_Oper_L,0.300735557595501,0.001238767785623327,0.0011146061075994673,0.0014870911416710458
Rolandic_Oper_R,0.3403253842903964,0.0012247987068555366,0.0010771140402090317,0.0015201680401485467
Supp_Motor_Area_L,0.5226324820874789,0.0005924671695877529,0.0004419639020412208,0.0008934737046808169
Supp_Motor_Area_R,0.4811335063133011,0.0006655961587460613,0.0005167835364641506,0.0009632214033098829
Olfactory_L,0.17696281546119239,0.002570692816612823,0.0023724349975668504,0.002967208454704767
Olfactory_R,0.21833656010448332,0.002282760623166945,0.0021214523720974186,0.0026053771253059968
Frontal_Sup_Medial_L,0.3701371627821282,0.001135726282015229,0.000994825846039325,0.0014175271539670368
Frontal_Sup_Medial_R,0.3587356677563425,0.001129496429900384,0.0009898601569845614,0.0014087689757320292
Frontal_Med_Orb_L,0.13784484355372292,0.0018188468629317285,0.0017084229384188787,0.0020396947119574274
Frontal_Med_Orb_R,0.17276227222771434,0.0015651705473138954,0.0014540743366279198,0.001787362968685847
Rectus_L,0.14063995061343648,0.0024008339100354075,0.0022596875979403485,0.0026831265342255263
Rectus_R,0.167831315274257,0.0021101361649366315,0.001982703175809182,0.00236500214319153
Insula_L,0.23493342105939657,0.0011456644759191364,0.0010269706339855623,0.0013830521597862845
Insula_R,0.17052030644812843,0.0013887204355538013,0.0012979242730457546,0.0015703127605698947
Cingulum_Ant_L,0.1230668863350608,0.001802826702258303,0.0017159423324265492,0.00197659544192181
