ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.21001527370096582,0.0015737841550428294,0.0014716595319495505,0.0017780334012293876
Precentral_R,0.15274438990655242,0.0017427144927377217,0.0016557580951518747,0.0019166272879094159
Frontal_Sup_L,0.26157582792708034,0.0015210299847105708,0.001366814291387975,0.0018294613713557627
Frontal_Sup_R,0.2763472968572477,0.0014091020498369399,0.0012590324952165843,0.0017092411590776508
Frontal_Sup_Orb_L,0.29797246058626276,0.0014030594729005279,0.0012463874229170309,0.0017164035728675223
Frontal_Sup_Orb_R,0.2974972954305171,0.0013896270347804691,0.001232836686983046,0.0017032077303753153
Frontal_Mid_L,0.2540984961331733,0.00152374669829751,0.0013747556068449726,0.0018217288812025847
Frontal_Mid_R,0.2077480513576447,0.0015286565331850824,0.0014130442654016154,0.0017598810687520165
Frontal_Mid_Orb_L,0.2216209303200168,0.0013907367366218844,0.0012478272468973736,0.0016765557160709065
Frontal_Mid_Orb_R,0.2897121600739918,0.001363758518485978,0.0011994487869324171,0.0016923779815930999
Frontal_Inf_Oper_L,0.17183091362633046,0.0016426936279495396,0.0015393616708714896,0.0018493575421056397
Frontal_Inf_Oper_R,0.18149168191464898,0.0013810538754557113,0.0012851289004381663,0.0015729038254908019
Frontal_Inf_Tri_L,0.17889474822604776,0.001841012002023642,0.0017137490630712558,0.0020955378799284146
Frontal_Inf_Tri_R,0.1745407207391026,0.0014641911886965704,0.001369946544822319,0.0016526804764450732
Frontal_Inf_Orb_L,0.1903913422903137,0.0014871694444616266,0.0013701393814218592,0.0017212295705411615
Frontal_Inf_Orb_R,0.314540422721074,0.001250707259909169,0.0011154031193489386,0.00152131554102963
Rolandic_Oper_L,0.3024647839191233,0.001007994704438689,0.0008623991247694308,0.0012991858637772054
Rolandic_Oper_R,0.23320983171040677,0.001135914077789258,0.0010218580844307214,0.001364026064506331
Supp_Motor_Area_L,0.16905812329555583,0.0017259846089355878,0.001624934693371375,0.0019280844400640135
Supp_Motor_Area_R,0.28340400319657977,0.001181827035928207,0.0010494485042464106,0.0014465840992918
Olfactory_L,0.24888308026214515,0.002344092289302055,0.002135023499622885,0.0027622298686603964
Olfactory_R,0.27756516463576353,0.002348982679826495,0.002124494239660708,0.002797959560158068
Frontal_Sup_Medial_L,0.19509933539306124,0.0018891565788927305,0.001741549882846745,0.0021843699709847017
Frontal_Sup_Medial_R,0.2625149969575549,0.001631337146198538,0.00146355409898313,0.001966903240629353
Frontal_Med_Orb_L,0.5665514045539112,0.0006551216472485625,0.0005146157530463247,0.0009361334356530383
Frontal_Med_Orb_R,0.40540279532404594,0.0012530895946569107,0.0010767208962891507,0.0016058269913924303
Rectus_L,0.3653315191142963,0.0016816796778062987,0.001521916880353794,0.0020012052727113082
Rectus_R,0.36024628792923785,0.0016446304733576753,0.0014716252717915336,0.0019906408764899593
Insula_L,0.2572520012812509,0.00155031414138839,0.0013921156637522272,0.0018667110966607162
Insula_R,0.27179498007482067,0.001423246380246786,0.001266570840053876,0.0017365974606326064
Cingulum_Ant_L,0.1587454331577177,0.0022820311546131703,0.0021302758757584706,0.00258554171232257
Cingulum_Ant_R,0.25720752156317345,0.0015686524366120655,0.001420324569327985,0.0018653081711802269
Cingulum_Mid_L,0.17447311734077747,0.0018092074093109117,0.00168310539858234,0.0020614114307680553
Cingulum_Mid_R,0.16991309716541866,0.001907258786650822,0.0017940741016784362,0.002133628156595593
Cingulum_Post_L,0.18612034030936742,0.001380245705882078,0.0012898236414624776,0.0015610898347212794
Cingulum_Post_R,0.12025101912097204,0.0016456749045417956,0.0015792666834940027,0.001778491346637381
Hippocampus_L,0.2616249131890023,0.0010352873665644485,0.0009190693264449809,0.001267723446803384
Hippocampus_R,0.2770496183829884,0.0009326925938434665,0.0008138530144383354,0.0011703717526537292
ParaHippocampal_L,0.24213653293523474,0.0011389510652760988,0.001024148023393976,0.0013685571490403444
ParaHippocampal_R,0.25710946306163107,0.001128720220230481,0.0010059856579334816,0.0013741893448244791
Amygdala_L,0.32824628973464753,0.0011442042190911018,0.0009713126266691636,0.0014899874039349778
Amygdala_R,0.39058149770872425,0.0009455938343512619,0.0007647821271548629,0.0013072172487440597
Calcarine_L,0.32188808113842754,0.001355112027459629,0.001161972844879638,0.0017413903926196109
Calcarine_R,0.27643719231764946,0.0014806906196684676,0.0012940013311769209,0.0018540691966515614
Cuneus_L,0.47243660003111554,0.0010127999020225506,0.000788983129492198,0.001460433447083256
Cuneus_R,0.43215429195681193,0.0011687610938513275,0.000938780344778779,0.0016287225919964245
Lingual_L,0.29654423805332203,0.001208147429258274,0.0010465072535575087,0.001531427780659805
Lingual_R,0.2222456413606555,0.0015064526549480647,0.001357406628955812,0.0018045447069325697
Occipital_Sup_L,0.535190227025174,0.000856865873660434,0.000620333676324445,0.0013299302683324118
Occipital_Sup_R,0.4829827575705535,0.0009881654828509663,0.0007539657344200662,0.0014565649797127667
