ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.11580323654562746,0.0020476649882194328,0.001973242548667672,0.002196509867322954
Precentral_R,0.13219225415065444,0.0018838213445676749,0.0017976213873470233,0.002056221259008978
Frontal_Sup_L,0.1333076115034058,0.0020824059915104144,0.0019676426985613176,0.0023119325774086084
Frontal_Sup_R,0.11853590400248368,0.002135320699079274,0.0020283497617257767,0.0023492625737862698
Frontal_Sup_Orb_L,0.16561062415315128,0.0018520272570674303,0.001718268948129554,0.002119543874943182
Frontal_Sup_Orb_R,0.12628587272179656,0.0019670942263449545,0.0018607111259889369,0.0021798604270569888
Frontal_Mid_L,0.10073638340362177,0.0021886036072469536,0.002097403738689872,0.002371003344361117
Frontal_Mid_R,0.12192407824813678,0.0020793819539872568,0.0019629804957446125,0.0023121848704725453
Frontal_Mid_Orb_L,0.11253186099877344,0.0020792846094512983,0.0019778672010916775,0.0022821194261705407
Frontal_Mid_Orb_R,0.11027225539263572,0.0020797965131263444,0.0019761227131908318,0.0022871441129973693
Frontal_Inf_Oper_L,0.12205565503121506,0.0018907599374067057,0.001808315458760543,0.002055648894699032
Frontal_Inf_Oper_R,0.10120811830958977,0.0020258763350119928,0.001946070415231258,0.0021854881745734613
Frontal_Inf_Tri_L,0.13342848283657294,0.00174634894738711,0.0016542575569441352,0.0019305317282730585
Frontal_Inf_Tri_R,0.13300174567540973,0.0017392559537668035,0.0016399458191357131,0.0019378762230289842
Frontal_Inf_Orb_L,0.14562320104478985,0.0015326213874699512,0.001439431869257981,0.0017190004238938907
Frontal_Inf_Orb_R,0.131688687905216,0.0015395540884584722,0.0014517863662793723,0.0017150895328166711
Rolandic_Oper_L,0.11087018919751261,0.0019141253176304662,0.0018398106525001471,0.002062754647891105
Rolandic_Oper_R,0.12888281299159335,0.0015426341958094316,0.0014634650881396572,0.0017009724111489803
Supp_Motor_Area_L,0.1001994821893228,0.0019202496500001236,0.0018477950081869261,0.0020651589336265195
Supp_Motor_Area_R,0.13062463979055178,0.0017275250895617187,0.0016511354337512948,0.0018803044011825659
Olfactory_L,0.16505457197401455,0.0014452115625233583,0.001340383067464204,0.0016548685526416671
Olfactory_R,0.25072092130400975,0.00101987367255966,0.0008846249756103912,0.0012903710664581983
Frontal_Sup_Medial_L,0.12487119993907955,0.0021496079846428833,0.002028553312082031,0.0023917173297645883
Frontal_Sup_Medial_R,0.13056263344350022,0.0021145170546900856,0.001986921687475713,0.002369707789118831
Frontal_Med_Orb_L,0.12661033739231173,0.001946855830048312,0.0018315661841209181,0.0021774351219030997
Frontal_Med_Orb_R,0.13009191031231815,0.0018745080976614512,0.0017714649716242725,0.002080594349735808
Rectus_L,0.13514916881900216,0.001635001837879338,0.0015361319669609866,0.0018327415797160412
Rectus_R,0.19345252855934233,0.0014126638771067826,0.001286241602982207,0.001665508425355934
Insula_L,0.11594539823114663,0.002072950332673183,0.001980944700102067,0.002256961597815413
Insula_R,0.11547423053026247,0.0018194297190722813,0.0017438708594564429,0.0019705474383039582
Cingulum_Ant_L,0.10359630008631265,0.0018511281902650605,0.0017724454260145918,0.002008493718765998
Cingulum_Ant_R,0.17290143206482383,0.0011962439839300334,0.0011051032632470022,0.0013785254252960963
Cingulum_Mid_L,0.135069645960667,0.0015299961827881109,0.0014573616306494028,0.0016752652870655263
Cingulum_Mid_R,0.14126059050051176,0.0014268208187506388,0.0013535396583234677,0.0015733831396049806
Cingulum_Post_L,0.13669913064264197,0.0013889176930321253,0.0013136478452848747,0.0015394573885266266
Cingulum_Post_R,0.159304403742659,0.001564600059711817,0.00146088725835664,0.0017720256624221711
Hippocampus_L,0.1369298864825675,0.0018528814123744692,0.001743132578669443,0.0020723790797845215
Hippocampus_R,0.1338502274183705,0.0018486898036031102,0.0017343762499686026,0.0020773169108721247
ParaHippocampal_L,0.13858704975704647,0.0015289059660599958,0.0014420598391190374,0.0017025982199419126
ParaHippocampal_R,0.13699796053113886,0.0017912005815681853,0.0016958098597883654,0.001981982025127825
Amygdala_L,0.22457376307138616,0.0013779331107269376,0.0012464978301626078,0.0016408036718555971
Amygdala_R,0.23648364699537197,0.0013749168657307598,0.0012402553731677814,0.001644239850856716
Calcarine_L,0.11292852094615269,0.00157807408462951,0.0015049832326441235,0.0017242557886002834
Calcarine_R,0.12999560757819562,0.0013451792588547386,0.0012746800818692653,0.0014861776128256858
Cuneus_L,0.1204155815227491,0.0015262342396782827,0.0014583980342605157,0.0016619066505138154
Cuneus_R,0.16236474573080276,0.0013340839687817998,0.0012500805636560116,0.0015020907790333768
Lingual_L,0.10832133193848825,0.0015589461959129686,0.0014852445668835073,0.0017063494539718918
Lingual_R,0.11998308087479848,0.0016092272281319024,0.0015211107991186853,0.0017854600861583368
Occipital_Sup_L,0.1537906080585499,0.0014556513456576484,0.0013752529015977825,0.0016164482337773804
Occipital_Sup_R,0.16409206933080334,0.0013174646993073997,0.0012356979382733397,0.0014809982213755204
Occipital_Mid_L,0.1544867665315475,0.0013497216454807102,0.0012596698609618439,0.001529825214518442
Occipital_Mid_R,0.12249429528156855,0.0013743282861179565,0.0013079786680342963,0.0015070275222852777
Occipital_Inf_L,0.14397562509018955,0.0013325412393949039,0.001241943682080366,0.0015137363540239793
Occipital_Inf_R,0.1618491786714459,0.001468676143635688,0.001356780620927573,0.0016924671890519176
Fusiform_L,0.1212085409628437,0.0013876427183536057,0.0013173087334393218,0.0015283106881821733
Fusiform_R,0.12215881033726911,0.001401354389838202,0.0013276109317374798,0.0015488413060396461
Postcentral_L,0.13196750571823682,0.0018274098019212823,0.0017491560128560012,0.001983917380051845
Postcentral_R,0.1240179938052487,0.0018814203124728798,0.0018010769166297818,0.002042107104159075
Parietal_Sup_L,0.12520967657862264,0.002014705215705223,0.0019112598388165223,0.0022215959694826246
Parietal_Sup_R,0.09700017229297463,0.0020530391534428626,0.001970585184985662,0.0022179470903572634
Parietal_Inf_L,0.1119547338830369,0.0019159300367646893,0.0018431571207256825,0.002061475868842703
Parietal_Inf_R,0.09133571189820934,0.0019969135268162156,0.0019290922488392822,0.0021325560827700823
SupraMarginal_L,0.12343907236080855,0.001509619632209147,0.0014400302174343985,0.0016487984617586445
SupraMarginal_R,0.11939780116742209,0.00159035366927918,0.0015186524334058844,0.00173375614102577
Angular_L,0.16009845153477525,0.0014021869325275566,0.0013113433739392402,0.0015838740497041899
Angular_R,0.12939118253967566,0.0014787750208916106,0.0013996169543271035,0.001637091154020625
Precuneus_L,0.10312435578329945,0.0018574674733450856,0.0017814335187379745,0.0020095353825593082
Precuneus_R,0.09920880436821218,0.0018435179997314487,0.0017735994809463943,0.0019833550373015577
Paracentral_Lobule_L,0.12452992700428488,0.0017934764748739637,0.0017126751704151693,0.0019550790837915524
Paracentral_Lobule_R,0.13354881134620397,0.0017678252667267882,0.0016821852114135927,0.0019391053773531795
Caudate_L,0.09881854762211768,0.002604721852826147,0.002511899660524818,0.0027903662374288043
Caudate_R,0.0751253865026012,0.0027197565320506655,0.002639055206726423,0.00288115918269915
Putamen_L,0.2678470030749425,0.0012007263642779505,0.0010731178000649966,0.0014559434927038577
Putamen_R,0.2999048065101518,0.0009471646828162696,0.0008117570992274365,0.001217979849993936
Pallidum_L,0.19719465464181243,0.0011297122377309527,0.0010340217455598627,0.0013210932220731324
Pallidum_R,0.30035955550887217,0.0008051463647001481,0.0006911067644252313,0.001033225565249982
Thalamus_L,0.2536455599851686,0.0017232932950311355,0.0015619699356061718,0.002045940013881063
Thalamus_R,0.23603820019633914,0.0017176287715749427,0.0015726032747407587,0.0020076797652433115
Heschl_L,0.10719209693141642,0.0023821833845032872,0.0022966395643315668,0.002553271024846727
Heschl_R,0.10149409289526727,0.0017956272835918231,0.001728742746550429,0.0019293963576746116
Temporal_Sup_L,0.11480919362800723,0.0017927267038681629,0.0017161157102968665,0.0019459486910107559
Temporal_Sup_R,0.13179092556638616,0.0015172789187280033,0.0014396718864417533,0.001672492983300504
Temporal_Pole_Sup_L,0.1210601382696718,0.002522839086993828,0.002385113812309662,0.0027982896363621594
Temporal_Pole_Sup_R,0.1059855130209273,0.0023347938562601504,0.002230614326173057,0.002543152916434338
Temporal_Mid_L,0.12004933675274994,0.0015580953117089354,0.0014821724065531758,0.0017099411220204547
Temporal_Mid_R,0.12793724877782411,0.001380263121749355,0.0013072601065174396,0.0015262691522131852
Temporal_Pole_Mid_L,0.13673086285650313,0.0016058691376462774,0.0015134111542464714,0.00179078510444589
Temporal_Pole_Mid_R,0.12116984496055995,0.0018345045204291187,0.001732535412307185,0.0020384427366729866
Temporal_Inf_L,0.14651550071975528,0.001277197225742438,0.0012021749401944356,0.0014272417968384432
Temporal_Inf_R,0.1355455292493492,0.0013896373848299541,0.0013123383092700173,0.0015442355359498278
Cerebelum_Crus1_L,0.1652657511247668,0.0012904595750031574,0.0012037017695804674,0.001463975185848537
